id;name;description;images;created_at;updated_at;deleted_at;status
1;mobile Fish;../fake-data/blob/hipster.txt;Home Loan Account Table Computer;2019-12-13T06:54:46;2019-12-12T21:17:06;2019-12-12T11:31:08;33370
2;Metal deposit;../fake-data/blob/hipster.txt;Producer;2019-12-12T12:19:43;2019-12-12T09:46:55;2019-12-13T03:12:39;77
3;Officer;../fake-data/blob/hipster.txt;methodology Albania;2019-12-12T21:56:25;2019-12-13T07:45:12;2019-12-13T01:19:03;52477
4;enable Gorgeous Frozen Pants;../fake-data/blob/hipster.txt;Common;2019-12-12T13:27:46;2019-12-12T17:27:57;2019-12-13T03:30:53;38246
5;Planner Canyon;../fake-data/blob/hipster.txt;Credit Card Account Table Small Frozen Sausages;2019-12-12T09:07:55;2019-12-12T18:47:17;2019-12-12T12:54:20;38541
6;Music;../fake-data/blob/hipster.txt;Nakfa;2019-12-12T21:44:36;2019-12-12T15:54:31;2019-12-13T05:22:41;60999
7;backing up Salad;../fake-data/blob/hipster.txt;Digitized invoice;2019-12-13T00:49:33;2019-12-12T22:06:12;2019-12-12T19:49:31;20794
8;Georgia Industrial;../fake-data/blob/hipster.txt;connect Markets Chief;2019-12-12T17:57:27;2019-12-12T14:51:09;2019-12-12T10:10:56;32654
9;Georgia;../fake-data/blob/hipster.txt;Tasty Plastic Pizza scale;2019-12-13T01:47:40;2019-12-12T19:21:16;2019-12-12T12:25:03;58675
10;Specialist Home Loan Account;../fake-data/blob/hipster.txt;Plastic;2019-12-12T13:03:16;2019-12-13T04:20:26;2019-12-13T06:31:04;1563
