id;total_price;note;created_at;updated_at;deleted_at;status
1;34825;../fake-data/blob/hipster.txt;2019-12-12T19:10:09;2019-12-12T19:58:20;2019-12-12T21:29:10;78365
2;91047;../fake-data/blob/hipster.txt;2019-12-12T22:47:27;2019-12-13T01:09:24;2019-12-12T17:22:40;52360
3;86236;../fake-data/blob/hipster.txt;2019-12-12T15:33:52;2019-12-12T09:31:10;2019-12-12T13:11:33;14707
4;45934;../fake-data/blob/hipster.txt;2019-12-12T10:04:12;2019-12-12T12:05:52;2019-12-12T20:29:49;76891
5;25824;../fake-data/blob/hipster.txt;2019-12-13T06:43:05;2019-12-12T21:17:19;2019-12-13T07:12:25;98003
6;62080;../fake-data/blob/hipster.txt;2019-12-12T20:29:06;2019-12-12T23:58:12;2019-12-13T00:25:04;20913
7;63340;../fake-data/blob/hipster.txt;2019-12-12T18:23:47;2019-12-13T02:32:39;2019-12-13T00:06:37;7586
8;53726;../fake-data/blob/hipster.txt;2019-12-13T05:12:53;2019-12-12T21:15:54;2019-12-13T05:14:05;58476
9;15190;../fake-data/blob/hipster.txt;2019-12-12T22:42:02;2019-12-13T04:58:33;2019-12-12T15:33:50;64087
10;18006;../fake-data/blob/hipster.txt;2019-12-13T03:56:33;2019-12-12T15:35:31;2019-12-13T00:00:42;41166
