id;name;price;description;images;is_sale;percent;detail;created_at;updated_at;deleted_at;status
1;mobile Fish;77969;Savings Account Dam;Practical Fresh Pants;true;14286;../fake-data/blob/hipster.txt;2019-12-12T16:27:40;2019-12-12T17:50:01;2019-12-13T08:57:39;5641
2;transmitter Implementation Electronics;99221;Money Market Account;Albania web-readiness;false;52477;../fake-data/blob/hipster.txt;2019-12-12T18:46:14;2019-12-12T23:51:30;2019-12-13T06:06:25;4666
3;Coordinator;23277;Licensed Savings Account;Cambridgeshire Mississippi;false;85994;../fake-data/blob/hipster.txt;2019-12-12T18:52:26;2019-12-12T17:07:39;2019-12-13T05:21:44;45049
4;Automotive;94220;South Dakota envisioneer Music;Nakfa;false;68326;../fake-data/blob/hipster.txt;2019-12-13T06:31:33;2019-12-12T18:48:54;2019-12-12T21:34:14;83319
5;Salad;39106;Tuna;hardware Costa Rica Mayotte;false;3131;../fake-data/blob/hipster.txt;2019-12-12T10:11:06;2019-12-12T13:14:25;2019-12-12T14:51:06;44975
6;e-enable Communications capacitor;32654;Georgia;Tasty Plastic Pizza scale;false;53969;../fake-data/blob/hipster.txt;2019-12-12T13:33:55;2019-12-12T19:22:22;2019-12-13T00:53:34;96525
7;Home Loan Account;27599;scalable;Small;true;42340;../fake-data/blob/hipster.txt;2019-12-12T14:55:16;2019-12-12T23:58:40;2019-12-13T04:41:08;29348
8;Jewelery;19884;monitor 1080p Checking Account;world-class Frozen IB;true;44945;../fake-data/blob/hipster.txt;2019-12-13T01:30:48;2019-12-13T07:09:54;2019-12-13T07:55:46;37081
9;Lempira;66592;New York tangible Mississippi;Frozen bus;true;72172;../fake-data/blob/hipster.txt;2019-12-12T19:59:03;2019-12-13T03:47:28;2019-12-12T14:57:06;25606
10;Sleek Metal Table Small;43933;red;withdrawal knowledge base Buckinghamshire;true;13933;../fake-data/blob/hipster.txt;2019-12-13T03:28:19;2019-12-12T18:56:56;2019-12-12T23:36:20;53984
